ID	Species	DistributionName	Parameter1Name	Parameter1Value	Parameter2Name	Parameter2Value	Parameter3Name	Parameter3Value	Loglikelihood	AIC	Loglikelihood_Empirical	AIC_Empirical	MaxNestSize
291	NorthernCardinal4	GeneralizedPoisson	theta	5.301	lambda	-1.274			-3.654	7.307	-3.523	11.046	3
292	NorthernCardinal5	GeneralizedPoisson	theta	5.595	lambda	-1.257			-6.734	13.467	-4.787	15.574	4
293	NorthernCardinal6	GeneralizedPoisson	theta	7.904	lambda	-1.812			-4.580	9.161	-3.158	12.316	4
294	FloridaScrubJay1	GeneralizedPoisson	theta	12.134	lambda	-2.609			-2.856	5.713	-2.843	11.686	4
295	FloridaScrubJay2	GeneralizedPoisson	theta	7.761	lambda	-1.410			-8.402	16.803	-4.367	16.733	5
296	FloridaScrubJay3	GeneralizedPoisson	theta	7.889	lambda	-1.347			-7.467	14.933	-4.471	16.943	5
297	FloridaScrubJay4	GeneralizedPoisson	theta	8.923	lambda	-1.489			-5.715	11.429	-4.988	17.975	5
298	FloridaScrubJay5	GeneralizedPoisson	theta	10.223	lambda	-1.744			-6.035	12.070	-3.591	15.182	5
299	FloridaScrubJay6	GeneralizedPoisson	theta	8.354	lambda	-1.523			-6.689	13.377	-4.502	17.003	5
300	FloridaScrubJay7	GeneralizedPoisson	theta	8.606	lambda	-1.705			-3.681	7.363	-3.536	13.073	4
301	FloridaScrubJay8	GeneralizedPoisson	theta	9.383	lambda	-1.911			-3.802	7.605	-3.802	13.605	4
302	FloridaScrubJay9	GeneralizedPoisson	theta	7.906	lambda	-1.367			-6.805	13.610	-4.936	17.872	5
303	SagebrushLizard	GeneralizedPoisson	theta	6.621	lambda	-0.708			-10.295	20.590	-8.937	29.874	7
304	NorthernSnappingTurtle	GeneralizedPoisson	theta	13.722	lambda	-0.361			-19.724	39.448	-11.648	53.296	16
305	Ouachitamapturtle	GeneralizedPoisson	theta	16.562	lambda	-0.463			-17.200	34.400	-11.121	54.243	17
306	Insularpitviper1	GeneralizedPoisson	theta	6.727	lambda	-0.481			-12.514	25.028	-9.401	32.803	8
307	Insularpitviper2	GeneralizedPoisson	theta	4.493	lambda	-0.244			-10.260	20.520	-8.417	28.834	7
308	Westernterrestrialgartnersnake	GeneralizedPoisson	theta	10.844	lambda	0.180			-28.668	57.336	-15.770	71.541	21
309	Redearedslider1	GeneralizedPoisson	theta	14.519	lambda	-0.056			-36.180	72.360	-18.657	89.314	27
310	Redearedslider2	GeneralizedPoisson	theta	14.666	lambda	0.010			-48.934	97.868	-31.050	112.099	26
311	Redearedslider3	GeneralizedPoisson	theta	15.372	lambda	-0.134			-39.230	78.460	-31.506	113.011	26
312	Redearedslider4	GeneralizedPoisson	theta	15.895	lambda	-0.153			-38.320	76.640	-24.893	99.786	26
313	Redearedslider5	GeneralizedPoisson	theta	14.222	lambda	-0.006			-58.688	117.376	-39.579	137.158	30
314	Redearedslider6	GeneralizedPoisson	theta	13.710	lambda	-0.010			-58.931	117.862	-41.590	135.179	27
315	Redearedslider7	GeneralizedPoisson	theta	16.962	lambda	-0.208			-29.350	58.700	-18.887	77.773	21
316	Redearedslider8	GeneralizedPoisson	theta	12.984	lambda	0.042			-62.340	124.680	-43.313	130.626	23
317	Redearedslider9	GeneralizedPoisson	theta	13.451	lambda	-0.017			-54.023	108.046	-40.833	125.667	23
318	Redearedslider10	GeneralizedPoisson	theta	14.435	lambda	-0.132			-28.397	56.794	-20.900	81.799	21
319	Redearedslider11	GeneralizedPoisson	theta	15.316	lambda	-0.231			-24.366	48.732	-12.534	63.068	20
320	Redearedslider12	GeneralizedPoisson	theta	13.844	lambda	-0.117			-26.641	53.282	-17.115	76.229	22
321	Redearedslider13	GeneralizedPoisson	theta	15.598	lambda	-0.155			-27.256	54.512	-20.777	83.554	22
322	Redearedslider14	GeneralizedPoisson	theta	15.866	lambda	-0.265			-24.811	49.622	-16.004	70.009	20
323	Redearedslider15	GeneralizedPoisson	theta	19.347	lambda	-0.361			-28.676	57.352	-20.749	83.497	22
324	Redearedslider16	GeneralizedPoisson	theta	15.294	lambda	-0.178			-32.903	65.806	-22.599	89.198	23
325	Redearedslider17	GeneralizedPoisson	theta	16.222	lambda	-0.323			-32.591	65.182	-27.180	90.360	19
326	Redearedslider18	GeneralizedPoisson	theta	16.274	lambda	-0.268			-37.270	74.540	-24.185	88.369	21
327	Redearedslider19	GeneralizedPoisson	theta	13.069	lambda	0.040			-31.947	63.894	-22.645	87.290	22
328	Redearedslider20	GeneralizedPoisson	theta	16.228	lambda	-0.344			-20.909	41.818	-16.197	66.394	18
329	Redearedslider21	GeneralizedPoisson	theta	15.748	lambda	-0.277			-25.114	50.228	-18.597	71.195	18
330	Redearedslider22	GeneralizedPoisson	theta	13.724	lambda	-0.049			-34.933	69.866	-24.406	92.812	23
331	Walllizard1	GeneralizedPoisson	theta	7.509	lambda	0.202			-26.123	52.246	-17.412	66.824	17
332	IguanidLizard	GeneralizedPoisson	theta	6.014	lambda	-1.278			-5.078	10.156	-3.069	12.138	4
333	Sixlinedracerunner1	GeneralizedPoisson	theta	4.530	lambda	0.231			-26.392	52.784	-13.541	51.081	13
334	Sixlinedracerunner2	GeneralizedPoisson	theta	5.034	lambda	-0.365			-14.325	28.650	-8.052	26.104	6
335	Sixlinedracerunner3	GeneralizedPoisson	theta	4.752	lambda	-0.863			-5.520	11.040	-3.982	13.964	4
336	Sixlinedracerunner4	GeneralizedPoisson	theta	5.341	lambda	-0.756			-10.872	21.744	-7.059	22.119	5
337	Sixlinedracerunner5	GeneralizedPoisson	theta	6.687	lambda	-0.888			-7.898	15.796	-4.953	19.905	6
338	SnowshoeHare	GeneralizedPoisson	theta	5.189	lambda	-0.909			-6.237	12.474	-4.989	15.979	4
339	Mearnscottontailrabbit	GeneralizedPoisson	theta	8.949	lambda	-0.569			-11.458	22.916	-7.859	31.719	9
340	MaskedShrew	GeneralizedPoisson	theta	9.765	lambda	-0.235			-18.721	37.442	-10.049	42.099	12
341	Deermouse1	GeneralizedPoisson	theta	12.186	lambda	-1.442			-9.721	19.442	-7.829	27.659	7
342	AfricanLion	GeneralizedPoisson	theta	3.907	lambda	-0.607			-17.741	35.482	-7.941	21.882	4
343	CollaredPeccary	GeneralizedPoisson	theta	2.346	lambda	-0.564			-7.951	15.903	-3.159	10.318	3
344	Whitefootedmouse	GeneralizedPoisson	theta	7.078	lambda	-0.660			-15.067	30.134	-12.058	36.115	7
345	Wildmuskrat	GeneralizedPoisson	theta	11.899	lambda	-0.664			-19.215	38.430	-14.285	50.569	12
346	Molerat	GeneralizedPoisson	theta	2.190	lambda	-0.448			-23.240	46.480	-4.980	15.960	4
347	Prairievoles	GeneralizedPoisson	theta	6.389	lambda	-0.650			-14.343	28.686	-10.345	32.689	7
348	Housemouse	GeneralizedPoisson	theta	5.980	lambda	-0.026			-26.113	52.226	-14.346	50.692	12
349	Woodlandmouse	GeneralizedPoisson	theta	8.496	lambda	-0.916			-7.902	15.804	-5.988	23.976	7
350	Westernharvestmouse	GeneralizedPoisson	theta	7.056	lambda	-0.857			-7.555	15.109	-5.871	21.742	6
351	Deermouse2	GeneralizedPoisson	theta	11.964	lambda	-1.776			-5.911	11.823	-4.069	18.137	6
352	Deermouse3	GeneralizedPoisson	theta	7.681	lambda	-0.641			-8.803	17.606	-6.439	24.878	7
353	Deermouse4	GeneralizedPoisson	theta	8.656	lambda	-0.552			-12.664	25.328	-9.160	34.321	9
354	BrownBandicoot	GeneralizedPoisson	theta	4.662	lambda	-0.518			-9.317	18.634	-8.299	26.598	6
355	YellowMudTurtle1	GeneralizedPoisson	theta	13.973	lambda	-1.208			-13.610	27.220	-11.301	38.602	9
356	YellowMudTurtle2	GeneralizedPoisson	theta	11.885	lambda	-1.025			-10.715	21.430	-7.239	30.478	9
357	YellowMudTurtle3	GeneralizedPoisson	theta	11.600	lambda	-0.946			-24.241	48.482	-14.669	45.337	9
358	YellowMudTurtle4	GeneralizedPoisson	theta	12.640	lambda	-1.239			-16.258	32.516	-11.495	36.990	8
359	EasternPaintedTurtle1	GeneralizedPoisson	theta	22.982	lambda	-0.568			-14.002	28.004	-11.754	61.507	20
360	EasternPaintedTurtle2	GeneralizedPoisson	theta	31.525	lambda	-1.418			-11.067	22.134	-6.933	41.866	15
361	Eastern_Painted_Turtle3	GeneralizedPoisson	theta	11.343	lambda	-0.343			-14.347	28.694	-10.133	46.267	14
362	Lesser_Scaup	GeneralizedPoisson	theta	17.920	lambda	-0.848			-18.007	36.014	-10.848	47.696	14
363	Mute_Swan	GeneralizedPoisson	theta	5.642	lambda	-0.151			-15.927	31.854	-9.393	36.786	10
364	GoldenEagle9	GeneralizedPoisson	theta	3.380	lambda	-0.932			-3.790	7.580	-2.915	9.830	3
365	AmericanAvocet1	Binomial	p	0.931	n	4.000			-12.433	24.866	-3.633	13.266	4
366	AmericanAvocet2	Binomial	p	0.784	n	5.000			-57.360	114.720	-3.782	15.564	5
367	BankSwallow1	Binomial	p	0.713	n	7.000			-31.373	62.746	-8.913	29.825	7
368	Cacklinggoose1	Binomial	p	0.332	n	12.950			-43.937	87.874	-16.438	48.877	9
369	Cacklinggoose2	Binomial	p	0.196	n	20.293			-54.708	109.416	-15.691	45.383	8
370	Cacklinggoose3	Binomial	p	0.485	n	8.367			-36.749	73.498	-13.759	39.517	7
371	Cacklinggoose4	Binomial	p	0.685	n	7.000			-27.374	54.748	-12.899	37.798	7
372	Blackbrant1	Binomial	p	0.000	n	3103100.000			-17.576	35.152	-7.072	24.144	6
373	Blackbrant2	Binomial	p	0.152	n	23.170			-16.460	32.920	-8.985	29.970	7
374	Blackbrant3	Binomial	p	0.000	n	7953400.000			-16.685	33.370	-7.709	25.419	6
375	Blackbrant4	Binomial	p	0.690	n	6.000			-11.075	22.150	-6.680	23.361	6
376	Emperorgoose1	Binomial	p	0.691	n	7.087			-7.691	15.382	-5.613	23.226	7
377	Emperorgoose2	Binomial	p	0.539	n	7.788			-9.224	18.447	-6.091	24.182	7
378	Emperorgoose3	Binomial	p	0.765	n	6.000			-5.657	11.313	-5.327	20.654	6
379	Whitefrontedgoose1	Binomial	p	0.475	n	9.553			-12.347	24.694	-6.894	25.789	7
380	Whitefrontedgoose2	Binomial	p	0.663	n	8.000			-7.704	15.407	-6.554	27.108	8
381	SpectacledEider1	Binomial	p	0.650	n	6.028			-10.306	20.612	-6.714	23.429	6
382	SpectacledEider2	Binomial	p	0.582	n	8.000			-20.591	41.182	-9.588	33.176	8
383	SpectacledEider3	Binomial	p	0.487	n	8.984			-17.879	35.758	-7.351	26.701	7
384	SpectacledEider4	Binomial	p	0.559	n	8.353			-16.189	32.378	-8.426	28.851	7
385	CaspianTern5	Binomial	p	0.787	n	3.000			-9.065	18.130	-5.329	14.659	3
386	CaspianTern6	Binomial	p	0.739	n	3.000			-5.505	11.010	-3.520	11.039	3
387	CaspianTern7	Binomial	p	0.792	n	3.000			-7.555	15.111	-5.034	14.068	3
388	CaspianTern8	Binomial	p	0.725	n	3.000			-10.347	20.694	-4.285	12.571	3
389	CaspianTern9	Binomial	p	0.578	n	3.000			-88.214	176.428	-4.883	13.766	3
390	CaspianTern10	Binomial	p	0.652	n	3.000			-166.750	333.500	-6.022	16.044	3
391	CaspianTern11	Binomial	p	0.655	n	3.000			-126.930	253.860	-5.900	15.801	3
392	CaspianTern12	Binomial	p	0.645	n	3.000			-34.860	69.720	-6.128	16.256	3
393	CaspianTern13	Binomial	p	1.111	n	1.800			0.000	0.000	0.000	2.000	2
394	CaspianTern14	Binomial	p	0.654	n	3.000			-13.085	26.170	-4.979	13.959	3
395	CaspianTern15	Binomial	p	0.820	n	3.000			-14.416	28.832	-6.714	17.428	3
396	CaspianTern16	Binomial	p	0.819	n	3.000			-27.396	54.792	-6.743	17.485	3
397	GreatCormorant	Binomial	p	0.740	n	6.000			-20.126	40.252	-7.313	24.626	6
398	DoubleCrestedCormorant1	Binomial	p	0.723	n	5.000			-11.011	22.022	-6.380	20.761	5
399	DoubleCrestedCormorant2	Binomial	p	0.635	n	5.000			-22.019	44.038	-7.609	23.218	5
400	DoubleCrestedCormorant4	Binomial	p	0.764	n	5.000			-8.788	17.576	-4.544	17.088	5
401	DoubleCrestedCormorant7	Binomial	p	0.602	n	5.000			-17.723	35.446	-7.559	23.118	5
402	DoubleCrestedCormorant8	Binomial	p	0.585	n	5.000			-13.288	26.576	-7.191	22.382	5
403	DoubleCrestedCormorant9	Binomial	p	0.570	n	5.000			-14.569	29.138	-7.091	22.182	5
404	DoubleCrestedCormorant10	Binomial	p	0.615	n	5.000			-11.362	22.724	-6.835	21.670	5
405	EaredGrebe	Binomial	p	0.843	n	4.000			-4.087	8.174	-3.113	12.226	4
406	HouseWren1	Binomial	p	0.757	n	9.000			-42.821	85.642	-8.619	33.238	9
407	HouseWren2	Binomial	p	0.743	n	8.000			-31.668	63.336	-8.329	30.658	8
408	HouseWren3	Binomial	p	0.788	n	9.000			-44.069	88.138	-9.498	34.996	9
409	HouseWren4	Binomial	p	0.742	n	8.000			-33.013	66.026	-9.676	33.352	8
410	HouseWren5	Binomial	p	0.766	n	9.000			-58.124	116.248	-7.918	31.835	9
411	HouseWren6	Binomial	p	0.781	n	7.000			-13.629	27.258	-8.765	29.530	7
412	HouseWren7	Binomial	p	0.766	n	8.000			-20.185	40.370	-9.763	33.526	8
413	NorthernHarrier1	Binomial	p	0.529	n	8.403			-11.412	22.824	-7.673	29.345	8
414	PrairieFalcon1	Binomial	p	0.717	n	6.000			-10.733	21.466	-5.332	20.664	6
415	PrairieFalcon2	Binomial	p	0.754	n	6.000			-12.245	24.490	-5.829	21.658	6
416	Redwingblackbird1	Binomial	p	0.699	n	5.000			-30.387	60.774	-5.794	19.587	5
417	Redwingblackbird2	Binomial	p	0.664	n	5.000			-25.471	50.942	-5.644	19.288	5
418	SnowyEgret	Binomial	p	0.788	n	5.000			-21.609	43.218	-5.858	19.716	5
419	CattleEgret	Binomial	p	0.584	n	6.000			-25.055	50.110	-7.631	25.262	6
420	LittleBlueHeron	Binomial	p	0.782	n	6.000			-11.778	23.556	-5.381	20.763	6
421	TricoloredHeron1	Binomial	p	0.699	n	6.000			-13.161	26.322	-4.415	18.830	6
422	TricoloredHeron2	Binomial	p	0.596	n	5.000			-26.947	53.894	-5.570	19.141	5
423	WillowPtarmigan	Binomial	p	0.754	n	13.912			-16.216	32.432	-7.236	38.471	13
424	YellowWarbler1	Binomial	p	0.786	n	6.000			-42.968	85.936	-5.344	20.688	6
425	Redwingblackbird3	Binomial	p	0.695	n	6.000			-51.228	102.456	-6.252	22.505	6
426	YellowWarbler2	Binomial	p	0.889	n	5.000			-4.692	9.384	-2.949	13.898	5
427	YellowWarbler3	Binomial	p	0.889	n	5.000			-9.516	19.032	-2.205	12.411	5
428	YellowWarbler4	Binomial	p	0.889	n	5.000			-5.227	10.454	-3.828	15.656	5
429	YellowWarbler5	Binomial	p	0.910	n	5.000			-5.174	10.349	-3.142	14.285	5
430	YellowWarbler6	Binomial	p	0.889	n	5.000			-6.578	13.157	-3.978	15.957	5
431	YellowWarbler7	Binomial	p	0.889	n	5.000			-11.078	22.156	-4.228	16.457	5
432	YellowWarbler8	Binomial	p	0.889	n	5.000			-12.015	24.030	-4.539	17.077	5
433	YellowWarbler9	Binomial	p	0.889	n	5.000			-6.960	13.920	-5.904	19.808	5
434	YellowWarbler10	Binomial	p	0.889	n	5.000			-10.015	20.030	-4.637	17.274	5
435	YellowWarbler11	Binomial	p	0.918	n	5.000			-6.993	13.985	-5.937	19.873	5
436	BarnSwallow2	Binomial	p	0.718	n	6.000			-12.063	24.126	-5.979	21.958	6
437	BarnSwallow3	Binomial	p	0.764	n	6.000			-10.002	20.004	-7.318	24.637	6
438	BarnSwallow4	Binomial	p	0.809	n	6.000			-11.535	23.070	-5.482	20.964	6
439	WoodStork1	Binomial	p	0.807	n	4.000			-15.554	31.108	-4.752	15.504	4
440	WoodStork2	Binomial	p	0.609	n	5.000			-24.990	49.980	-4.155	16.309	5
441	WoodStork3	Binomial	p	0.898	n	3.000			-4.035	8.071	-3.613	11.226	3
442	WoodStork4	Binomial	p	0.911	n	3.000			-3.092	6.184	-1.970	7.940	3
443	WoodStork5	Binomial	p	0.902	n	3.000			-3.545	7.090	-3.464	10.928	3
444	WoodStork6	Binomial	p	0.654	n	4.000			-22.439	44.878	-4.731	15.463	4
445	WoodStork7	Binomial	p	0.720	n	4.000			-33.154	66.308	-3.757	13.514	4
446	WoodStork8	Binomial	p	0.740	n	4.000			-14.384	28.768	-2.243	10.487	4
447	WoodStork9	Binomial	p	0.636	n	4.000			-6.754	13.508	-3.684	13.368	4
448	WoodStork10	Binomial	p	0.771	n	4.000			-22.889	45.778	-1.453	8.905	4
449	WoodStork11	Binomial	p	0.736	n	4.000			-22.056	44.112	-3.425	12.851	4
450	WoodStork12	Binomial	p	0.718	n	4.000			-18.396	36.792	-4.011	14.022	4
451	WoodStork13	Binomial	p	0.850	n	4.000			-11.192	22.384	-4.178	14.356	4
452	WoodStork14	Binomial	p	0.769	n	4.000			-33.978	67.956	-5.016	16.031	4
453	WoodStork15	Binomial	p	0.774	n	4.000			-16.151	32.302	-4.242	14.484	4
454	WoodStork16	Binomial	p	0.707	n	4.000			-9.842	19.684	-2.590	11.181	4
455	WoodStork17	Binomial	p	0.779	n	4.000			-18.967	37.934	-5.585	17.170	4
456	WoodStork18	Binomial	p	0.764	n	4.000			-47.453	94.906	-3.785	13.570	4
457	WoodStork19	Binomial	p	0.745	n	4.000			-15.504	31.008	-4.580	15.159	4
458	WoodStork20	Binomial	p	0.814	n	4.000			-8.726	17.451	-3.254	12.508	4
459	WoodStork21	Binomial	p	0.729	n	4.000			-10.858	21.716	-3.795	13.591	4
460	WoodStork22	Binomial	p	0.773	n	4.000			-11.507	23.014	-4.960	15.921	4
461	WoodStork23	Binomial	p	0.732	n	4.000			-18.521	37.042	-4.510	15.019	4
462	WoodStork24	Binomial	p	0.737	n	4.000			-26.157	52.314	-4.806	15.612	4
463	WoodStork25	Binomial	p	0.647	n	5.000			-14.256	28.512	-4.082	16.163	5
464	WoodStork26	Binomial	p	0.721	n	4.000			-16.842	33.684	-3.552	13.103	4
465	WoodStork27	Binomial	p	0.755	n	4.000			-20.207	40.414	-3.272	12.544	4
466	WoodStork28	Binomial	p	0.689	n	4.000			-29.465	58.930	-3.233	12.467	4
467	WoodStork29	Binomial	p	0.728	n	4.000			-21.865	43.730	-3.856	13.711	4
468	WoodStork30	Binomial	p	0.734	n	4.000			-38.727	77.454	-3.389	12.778	4
469	WoodStork31	Binomial	p	0.723	n	4.000			-40.193	80.386	-3.838	13.676	4
470	NorthernCardinal1	Binomial	p	0.621	n	4.000			-8.903	17.806	-4.899	15.798	4
471	NorthernCardinal2	Binomial	p	0.635	n	4.000			-8.962	17.924	-4.132	14.265	4
472	NorthernCardinal3	Binomial	p	0.554	n	4.000			-6.109	12.218	-4.341	14.683	4
473	NorthernCardinal4	Binomial	p	0.781	n	3.000			-3.938	7.876	-3.523	11.046	3
474	NorthernCardinal5	Binomial	p	0.620	n	4.000			-12.342	24.684	-4.787	15.574	4
475	NorthernCardinal6	Binomial	p	0.703	n	4.000			-13.323	26.646	-3.158	12.316	4
476	FloridaScrubJay1	Binomial	p	0.852	n	4.000			-4.725	9.450	-2.843	11.686	4
477	FloridaScrubJay2	Binomial	p	0.644	n	5.000			-15.731	31.462	-4.367	16.733	5
478	FloridaScrubJay3	Binomial	p	0.672	n	5.000			-11.753	23.506	-4.471	16.943	5
479	FloridaScrubJay4	Binomial	p	0.717	n	5.000			-9.263	18.526	-4.988	17.975	5
480	FloridaScrubJay5	Binomial	p	0.745	n	5.000			-11.352	22.704	-3.591	15.182	5
481	FloridaScrubJay6	Binomial	p	0.662	n	5.000			-14.811	29.622	-4.502	17.003	5
482	FloridaScrubJay7	Binomial	p	0.795	n	4.000			-5.091	10.182	-3.536	13.073	4
483	FloridaScrubJay8	Binomial	p	0.815	n	4.000			-6.652	13.304	-3.802	13.605	4
484	FloridaScrubJay9	Binomial	p	0.668	n	5.000			-12.567	25.134	-4.936	17.872	5
485	SagebrushLizard	Binomial	p	0.554	n	7.000			-11.692	23.384	-8.937	29.874	7
486	NorthernSnappingTurtle	Binomial	p	0.447	n	22.539			-19.817	39.634	-11.648	53.296	16
487	Ouachitamapturtle	Binomial	p	0.522	n	21.673			-17.282	34.564	-11.121	54.243	17
488	Insularpitviper1	Binomial	p	0.532	n	8.539			-12.587	25.174	-9.401	32.803	8
489	Insularpitviper2	Binomial	p	0.350	n	10.319			-10.273	20.546	-8.417	28.834	7
490	Westernterrestrialgartnersnake	Binomial	p	0.000	n	45724000.000			-29.904	59.808	-15.770	71.541	21
491	Redearedslider1	Binomial	p	0.100	n	137.810			-36.187	72.374	-18.657	89.314	27
492	Redearedslider2	Binomial	p	0.000	n	6584900.000			-48.948	97.896	-31.050	112.099	26
493	Redearedslider3	Binomial	p	0.222	n	61.062			-39.242	78.484	-31.506	113.011	26
494	Redearedslider4	Binomial	p	0.246	n	56.047			-38.327	76.654	-24.893	99.786	26
495	Redearedslider5	Binomial	p	0.011	n	1268.300			-58.688	117.376	-39.579	137.158	30
496	Redearedslider6	Binomial	p	0.020	n	665.470			-58.931	117.862	-41.590	135.179	27
497	Redearedslider7	Binomial	p	0.316	n	44.448			-29.338	58.676	-18.887	77.773	21
498	Redearedslider8	Binomial	p	0.000	n	10766000.000			-63.353	126.706	-43.313	130.626	23
499	Redearedslider9	Binomial	p	0.033	n	401.230			-54.021	108.042	-40.833	125.667	23
500	Redearedslider10	Binomial	p	0.216	n	58.914			-28.417	56.834	-20.900	81.799	21
501	Redearedslider11	Binomial	p	0.337	n	36.943			-24.375	48.750	-12.534	63.068	20
502	Redearedslider12	Binomial	p	0.198	n	62.658			-26.641	53.282	-17.115	76.229	22
503	Redearedslider13	Binomial	p	0.252	n	53.672			-27.251	54.502	-20.777	83.554	22
504	Redearedslider14	Binomial	p	0.367	n	34.182			-24.868	49.736	-16.004	70.009	20
505	Redearedslider15	Binomial	p	0.459	n	30.980			-28.677	57.354	-20.749	83.497	22
506	Redearedslider16	Binomial	p	0.275	n	47.131			-32.939	65.878	-22.599	89.198	23
507	Redearedslider17	Binomial	p	0.430	n	28.506			-32.488	64.976	-27.180	90.360	19
508	Redearedslider18	Binomial	p	0.377	n	34.063			-37.269	74.538	-24.185	88.369	21
509	Redearedslider19	Binomial	p	0.000	n	8431000.000			-32.072	64.144	-22.645	87.290	22
510	Redearedslider20	Binomial	p	0.446	n	27.081			-20.920	41.840	-16.197	66.394	18
511	Redearedslider21	Binomial	p	0.388	n	31.735			-25.094	50.188	-18.597	71.195	18
512	Redearedslider22	Binomial	p	0.090	n	145.890			-34.935	69.870	-24.406	92.812	23
513	Walllizard1	Binomial	p	0.000	n	19214000.000			-28.474	56.948	-17.412	66.824	17
514	IguanidLizard	Binomial	p	0.660	n	4.000			-7.938	15.875	-3.069	12.138	4
515	Sixlinedracerunner1	Binomial	p	0.000	n	21388000.000			-30.079	60.158	-13.541	51.081	13
516	Sixlinedracerunner2	Binomial	p	0.470	n	7.852			-14.291	28.582	-8.052	26.104	6
517	Sixlinedracerunner3	Binomial	p	0.637	n	4.000			-5.906	11.811	-3.982	13.964	4
518	Sixlinedracerunner4	Binomial	p	0.608	n	5.000			-11.722	23.444	-7.059	22.119	5
519	Sixlinedracerunner5	Binomial	p	0.590	n	6.000			-9.325	18.649	-4.953	19.905	6
520	SnowshoeHare	Binomial	p	0.680	n	4.000			-6.011	12.023	-4.989	15.979	4
521	Mearnscottontailrabbit	Binomial	p	0.596	n	9.573			-11.388	22.776	-7.859	31.719	9
522	MaskedShrew	Binomial	p	0.359	n	22.018			-18.666	37.332	-10.049	42.099	12
523	Deermouse1	Binomial	p	0.713	n	7.000			-16.661	33.322	-7.829	27.659	7
524	AfricanLion	Binomial	p	0.608	n	4.000			-15.632	31.264	-7.941	21.882	4
525	CollaredPeccary	Binomial	p	0.501	n	3.000			-8.525	17.049	-3.159	10.318	3
526	Whitefootedmouse	Binomial	p	0.609	n	7.000			-14.665	29.330	-12.058	36.115	7
527	Wildmuskrat	Binomial	p	0.596	n	12.000			-20.191	40.382	-14.285	50.569	12
528	Molerat	Binomial	p	0.381	n	4.000			-27.049	54.098	-4.980	15.960	4
529	Prairievoles	Binomial	p	0.553	n	7.000			-16.213	32.426	-10.345	32.689	7
530	Housemouse	Binomial	p	0.047	n	123.320			-26.115	52.230	-14.346	50.692	12
531	Woodlandmouse	Binomial	p	0.634	n	7.000			-8.610	17.219	-5.988	23.976	7
532	Westernharvestmouse	Binomial	p	0.633	n	6.000			-8.249	16.498	-5.871	21.742	6
533	Deermouse2	Binomial	p	0.718	n	6.000			-11.026	22.052	-4.069	18.137	6
534	Deermouse3	Binomial	p	0.628	n	7.456			-8.809	17.617	-6.439	24.878	7
535	Deermouse4	Binomial	p	0.585	n	9.537			-12.570	25.140	-9.160	34.321	9
536	BrownBandicoot	Binomial	p	0.512	n	6.000			-9.557	19.115	-8.299	26.598	6
537	YellowMudTurtle1	Binomial	p	0.703	n	9.000			-21.010	42.020	-11.301	38.602	9
538	YellowMudTurtle2	Binomial	p	0.652	n	9.000			-12.556	25.112	-7.239	30.478	9
539	YellowMudTurtle3	Binomial	p	0.662	n	9.000			-29.864	59.728	-14.669	45.337	9
540	YellowMudTurtle4	Binomial	p	0.706	n	8.000			-25.814	51.628	-11.495	36.990	8
541	EasternPaintedTurtle1	Binomial	p	0.587	n	24.948			-14.042	28.084	-11.754	61.507	20
542	EasternPaintedTurtle2	Binomial	p	0.845	n	15.441			-10.610	21.220	-6.933	41.866	15
543	Eastern_Painted_Turtle3	Binomial	p	0.432	n	19.551			-14.415	28.830	-10.133	46.267	14
544	Lesser_Scaup	Binomial	p	0.671	n	14.454			-18.986	37.972	-10.848	47.696	14
545	Mute_Swan	Binomial	p	0.240	n	20.470			-15.940	31.880	-9.393	36.786	10
546	GoldenEagle9	Binomial	p	0.583	n	3.000			-5.362	10.723	-2.915	9.830	3
547	AmericanAvocet1	NegativeBinomial	m 	3.722	k	21696000.000			-79.530	159.060	-3.633	13.266	4
548	AmericanAvocet2	NegativeBinomial	m 	3.922	k	18480000.000			-118.300	236.600	-3.782	15.564	5
549	BankSwallow1	NegativeBinomial	m 	5.000	k	12268000.000			-108.260	216.520	-8.913	29.825	7
550	Cacklinggoose1	NegativeBinomial	m 	4.301	k	17494000.000			-50.638	101.276	-16.438	48.877	9
551	Cacklinggoose2	NegativeBinomial	m 	3.973	k	13459000.000			-56.776	113.552	-15.691	45.383	8
552	Cacklinggoose3	NegativeBinomial	m 	4.055	k	19287000.000			-51.565	103.130	-13.759	39.517	7
553	Cacklinggoose4	NegativeBinomial	m 	4.794	k	14932000.000			-61.595	123.190	-12.899	37.798	7
554	Blackbrant1	NegativeBinomial	m 	2.759	k	36.632			-17.541	35.082	-7.072	24.144	6
555	Blackbrant2	NegativeBinomial	m 	3.514	k	4169500.000			-16.686	33.372	-8.985	29.970	7
556	Blackbrant3	NegativeBinomial	m 	2.714	k	57.998			-16.668	33.336	-7.709	25.419	6
557	Blackbrant4	NegativeBinomial	m 	4.138	k	37631000.000			-17.456	34.912	-6.680	23.361	6
558	Emperorgoose1	NegativeBinomial	m 	4.900	k	14245000.000			-12.281	24.562	-5.613	23.226	7
559	Emperorgoose2	NegativeBinomial	m 	4.200	k	18405000.000			-12.063	24.126	-6.091	24.182	7
560	Emperorgoose3	NegativeBinomial	m 	4.591	k	15900000.000			-14.599	29.198	-5.327	20.654	6
561	Whitefrontedgoose1	NegativeBinomial	m 	4.542	k	28013000.000			-14.101	28.202	-6.894	25.789	7
